VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,trip_duration_sec,year_week,year_month
2,2012-02-22 16:42:09,2012-02-23 16:34:22,1.0,0.0,1.0,N,193,193,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85933.0,2012-008,2012-02
2,2009-01-01 00:07:27,2009-01-01 18:53:33,1.0,0.0,1.0,N,193,193,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67566.0,2009-000,2009-01
2,2003-01-01 00:10:06,2003-01-01 12:38:59,1.0,0.0,1.0,N,193,193,1,2.5,0.0,0.5,0.99,0.0,0.3,4.29,0.0,0.0,44933.0,2003-000,2003-01
2,2009-01-01 06:36:41,2009-01-01 14:11:14,1.0,0.69,1.0,N,263,236,1,5.5,0.0,0.5,4.0,0.0,0.3,12.8,2.5,0.0,27273.0,2009-000,2009-01
2,2008-12-31 23:02:04,2009-01-01 17:04:49,1.0,1.03,1.0,N,230,162,1,9.0,0.0,0.5,1.23,0.0,0.3,13.53,2.5,0.0,64965.0,2008-052,2008-12
2,2008-12-31 23:19:56,2008-12-31 23:44:06,1.0,2.76,1.0,N,161,142,2,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5,0.0,1450.0,2008-052,2008-12
2,2009-01-01 00:54:41,2009-01-01 01:26:54,1.0,3.5,1.0,N,186,140,2,19.0,0.5,0.5,0.0,0.0,0.3,22.8,2.5,0.0,1933.0,2009-000,2009-01
2,2009-01-01 01:52:29,2009-01-01 02:05:49,1.0,1.61,1.0,N,163,143,2,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5,0.0,800.0,2009-000,2009-01
2,2009-01-01 00:00:11,2009-01-01 00:14:10,1.0,1.81,1.0,N,70,138,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,0.0,0.0,839.0,2009-000,2009-01
2,2009-01-01 00:15:04,2009-01-01 00:37:49,1.0,10.95,1.0,N,138,161,2,31.5,0.0,0.5,0.0,6.55,0.3,42.6,2.5,1.25,1365.0,2009-000,2009-01
2,2009-01-01 00:40:47,2009-01-01 01:08:46,1.0,11.24,1.0,N,161,138,2,33.0,0.0,0.5,0.0,6.55,0.3,42.85,2.5,0.0,1679.0,2009-000,2009-01
2,2009-01-01 02:36:48,2009-01-01 19:47:33,1.0,0.54,1.0,N,143,143,1,4.5,1.0,0.5,1.2,0.0,0.3,10.0,2.5,0.0,61845.0,2009-000,2009-01
2,2008-12-31 23:02:37,2009-01-01 01:00:14,1.0,16.67,2.0,N,132,107,1,52.0,0.0,0.5,12.62,6.55,0.3,75.72,2.5,1.25,7057.0,2008-052,2008-12
2,2009-01-01 00:02:13,2009-01-01 20:45:45,1.0,1.91,1.0,N,234,144,1,9.0,0.5,0.5,3.2,0.0,0.3,16.0,2.5,0.0,74612.0,2009-000,2009-01
2,2008-12-31 23:02:41,2009-01-01 01:23:52,1.0,17.52,2.0,N,132,231,1,52.0,0.0,0.5,8.48,0.0,0.3,65.03,2.5,1.25,8471.0,2008-052,2008-12
